dir,name,outcome,reps,ns_per_iter
variables,test_struct2,pass,35511,2816.0
variables,test_struct3,pass,18396,5436.2
variables,test_struct4,pass,12039,8306.9
variables,test_struct5,pass,40808,2450.5
variables,test_struct6,pass,41588,2404.6
variables,test_struct7,pass,52947,1888.7
variables,test_struct8,pass,16329,6124.1
variables,test_struct9,pass,25951,3853.5
variables,test_subset1,pass,22426,4459.3
variables,test_subset10,pass,41543,2407.2
variables,test_subset11,pass,20885,4788.3
variables,test_subset12,pass,21150,4728.4
variables,test_subset13,pass,43897,2278.1
variables,test_subset14,pass,21337,4686.9
variables,test_subset15,pass,18965,5273.1
variables,test_subset16,pass,31764,3148.3
variables,test_subset17,pass,158409,631.3
variables,test_subset18,pass,53998,1852.0
variables,test_subset19,pass,14471,6910.6
variables,test_subset2,pass,49204,2032.4
variables,test_subset20,pass,13752,7272.0
variables,test_subset21,pass,55169,1812.6
variables,test_subset22,pass,48289,2070.9
variables,test_subset3,pass,35656,2804.6
variables,test_subset4,pass,40645,2460.3
variables,test_subset5,pass,31859,3138.9
variables,test_subset6,pass,19087,5239.4
variables,test_subset7,pass,26467,3778.3
variables,test_subset8,pass,21260,4703.7
variables,test_subset9,pass,41072,2434.8
variables,test_vec1,pass,91812,1089.2
