dir,name,fm_outcome,rs_outcome,fm_ns,rs_ns,speedup
flow,test_switch3,pass,pass,35211.3,972.8,36.195826480263165
flow,test_switch4,pass,pass,33930.9,1172.4,28.941402251791196
flow,test_switch5,pass,pass,28415.3,741.0,38.3472334682861
flow,test_switch6,pass,pass,31875.0,1430.8,22.277746715124408
flow,test_switch7,pass,pass,30681.8,1173.7,26.141092272301268
flow,test_switch8,pass,pass,23887.6,560.9,42.58798359778927
flow,test_while1,pass,pass,103738.3,4568.5,22.70729998905549
flow,test_while2,pass,pass,131250.0,7298.0,17.984379281995068
flow,test_while3,pass,pass,100000.0,3376.5,29.61646675551607
freemat,test_assignin1,pass,pass,35915.5,888.5,40.42262239729882
freemat,test_assignin2,pass,pass,49377.0,1244.0,39.692122186495176
freemat,test_builtin1,pass,pass,28961.7,832.0,34.809735576923075
freemat,test_eval1,pass,pass,61931.8,1416.5,43.721708436286626
freemat,test_eval2,pass,pass,228260.9,28751.7,7.939040126322965
freemat,test_eval3,pass,pass,2040000.0,2010.2,1014.8243955825291
freemat,test_evalin1,pass,pass,100899.1,3406.6,29.61871073797922
freemat,test_evalin2,pass,pass,133750.0,3293.4,40.61152608246797
freemat,test_feval1,pass,pass,28385.4,956.4,29.679422835633627
freemat,test_jit,pass,pass,102897.1,12468.1,8.252829220169874
freemat,test_source,pass,pass,252500.0,9750.7,25.89557672782467
functions,test_call1,pass,pass,190566.0,3983.1,47.84363937636515
functions,test_call2,pass,pass,192452.8,4748.7,40.52747067618506
functions,test_call3,pass,pass,77414.8,1454.4,53.22799779977998
functions,test_call4,pass,pass,82031.2,1819.5,45.08447375652651
functions,test_fcall1,pass,pass,95327.1,2307.3,41.31543362371603
functions,test_fcall2,pass,pass,82812.5,1807.4,45.81857917450481
functions,test_fptr1,error,pass,0.0,1080.5,
functions,test_nargin1,pass,pass,57416.3,1201.7,47.779229424981274
functions,test_nargin2,pass,pass,57947.9,1226.2,47.258114500081554
handle,test_contour1,error,pass,0.0,1202.8,
handle,test_image1,error,pass,0.0,1179.8,
handle,test_plot1,error,pass,0.0,1311.1,
inspection,test_clear1,pass,pass,2080000.0,959.9,2166.8923846233984
inspection,test_clear2,pass,pass,2040000.0,1160.8,1757.408683666437
inspection,test_empty,pass,pass,123863.6,9508.7,13.026344295224373
inspection,test_exist1,pass,pass,40577.4,1659.7,24.44863529553534
inspection,test_exist2,pass,pass,28142.1,551.2,51.0560595065312
inspection,test_fieldnames1,pass,pass,49377.0,2053.5,24.045288531775018
inspection,test_iscellstr1,pass,pass,217759.0,805.0,270.5080745341615
inspection,test_iscellstr2,pass,pass,219565.2,735.0,298.72816326530614
inspection,test_isfield1,pass,pass,748251.7,1680.1,445.3614070591036
inspection,test_isset1,pass,pass,57947.9,907.7,63.840365759612204
inspection,test_size1,pass,pass,183533.4,4119.7,44.550185693132995
inspection,test_size2,pass,pass,192949.9,4116.8,46.868903031480755
inspection,test_size3,pass,pass,88757.4,2411.0,36.81352136043135
inspection,test_size4,pass,pass,40577.4,1943.3,20.88066690680801
inspection,test_typeof1,pass,pass,81250.0,1585.8,51.235969226888635
inspection,test_typeof2,pass,pass,82031.2,1553.9,52.790527060943425
inspection,test_typeof3,pass,pass,81250.0,1559.4,52.10337309221495
inspection,test_typeof4,pass,pass,85811.4,1662.4,51.61898460057747
inspection,test_typeof5,pass,pass,84375.0,1645.3,51.2824408922385
inspection,test_typeof6,pass,pass,80468.7,1551.6,51.861755607115235
io,test_dlmread1,pass,pass,188679.2,54269.9,3.4766822861291433
io,test_file1,error,fail,0.0,33842.6,
io,test_imwrite_imread,error,pass,0.0,298852.1,
io,test_load1,pass,pass,148611.1,40022.5,3.713188831282404
io,test_save1,pass,pass,198515.8,71989.5,2.7575660339355044
io,test_sscanf1,pass,pass,88541.7,1979.4,44.73158532888754
operators,test_power1,pass,pass,167711.6,23797.3,7.04750538926685
operators,test_range1,pass,pass,85669.8,2523.3,33.95149209368684
operators,test_range2,pass,pass,89409.7,2763.0,32.359645313065506
operators,test_range3,pass,pass,86718.7,2578.7,33.628843991158334
operators,test_range4,pass,pass,84375.0,2434.7,34.65519365835627
operators,test_range5,pass,pass,88541.7,2639.4,33.54614685155717
